scenario,confidence,sector,direct_shock,total_impact,multiplier_effect,price_effect,gdp_contribution
225-year,mean,PROF_OTHER,-198.58,-301.1,-102.52,3.91,4.29
225-year,mean,EDUC_ENT,-150.13,-249.33,-99.2,3.51,1.29
225-year,mean,G,-130.03,-203.51,-73.48,4.75,24.95
225-year,p5,AGR,-5.3,-16.71,-11.41,-1.49,-2.48
225-year,p5,MINING,-0.48,-8.63,-8.15,-2.18,-4.23
225-year,p5,UTIL_CONST,-50.27,-85.57,-35.3,-0.46,2.13
225-year,p5,MANUF,-83.65,-232.55,-148.9,-0.92,-16.86
225-year,p5,TRADE_TRANSP,-112.74,-54.27,58.47,-0.05,0.0
225-year,p5,INFO,-52.15,-92.43,-40.28,0.43,0.37
225-year,p5,FIRE,-198.61,-335.17,-136.56,0.24,-4.0
225-year,p5,PROF_OTHER,-175.69,-266.83,-91.14,0.52,3.48
225-year,p5,EDUC_ENT,-133.87,-218.26,-84.39,0.2,3.67
225-year,p5,G,-116.33,-189.68,-73.35,1.28,17.91
225-year,p95,AGR,-7.38,-21.49,-14.11,-5.41,-2.63
225-year,p95,MINING,-0.99,-11.32,-10.33,-6.32,-5.19
225-year,p95,UTIL_CONST,-61.49,-107.04,-45.55,-4.37,1.24
225-year,p95,MANUF,-101.53,-284.61,-183.08,-4.9,-21.63
225-year,p95,TRADE_TRANSP,-136.89,-67.26,69.63,-3.81,0.0
225-year,p95,INFO,-67.92,-117.78,-49.86,-3.08,2.02
225-year,p95,FIRE,-248.95,-414.73,-165.78,-3.44,-1.64
225-year,p95,PROF_OTHER,-220.88,-334.23,-113.35,-3.1,5.26
225-year,p95,EDUC_ENT,-166.21,-266.87,-100.66,-3.53,7.19
225-year,p95,G,-143.53,-246.48,-102.95,-2.25,15.39
